,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
183,dbt Labs,4.2,2021-06-30,United States,Philadelphia,Enterprise Tech,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",2021,Andreessen Horowitz, Amplify Partners, Sequoia Capital,
184,SSENSE,4.15,2021-06-08,Canada,Montreal,Consumer & Retail,Sequoia Capital,2021,Sequoia Capital,,,
185,Dataminr,4.1,2018-06-04,United States,New York,Enterprise Tech,"Venrock, Institutional Venture Partners, Goldman Sachs",2018,Venrock, Institutional Venture Partners, Goldman Sachs,
186,BitPanda,4.11,2021-03-16,Austria,Vienna,Financial Services,"Speedinvest, Valar Ventures, Uniqa Ventures",2021,Speedinvest, Valar Ventures, Uniqa Ventures,
187,Weee!,4.1,2021-03-16,United States,Fremont,Consumer & Retail,"Goodwater Capital, iFly, XVC Venture Capital",2021,Goodwater Capital, iFly, XVC Venture Capital,
188,AlphaSense,4.0,2022-06-15,United States,New York,Enterprise Tech,"Viking Global Investors, GS Growth, BlackRock",2022,Viking Global Investors, GS Growth, BlackRock,
189,Skydance Media,4.0,2020-02-11,United States,Santa Monica,Media & Entertainment,"RedBird Capital Partners, CJ ENM, Tencent Holdings",2020,RedBird Capital Partners, CJ ENM, Tencent Holdings,
190,The Brandtech Group,4.0,2019-11-19,United States,New York,Enterprise Tech,Undisclosed,2019,Undisclosed,,,
191,Houzz,4.0,2014-09-30,United States,Palo Alto,Consumer & Retail,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",2014,New Enterprise Associates, Sequoia Capital, Comcast Ventures,
192,Yello Mobile,4.0,2014-11-11,South Korea,Seoul,Consumer & Retail,Formation 8,2014,Formation 8,,,
193,Inflection AI,4.0,2022-05-13,United States,Palo Alto,Enterprise Tech,"Gates Frontier, Greylock Partners, Horizons Ventures",2022,Gates Frontier, Greylock Partners, Horizons Ventures,
194,MEGVII,4.0,2017-10-31,China,Beijing,Enterprise Tech,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",2017,Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company,
195,Greensill,4.0,2018-07-16,United Kingdom,London,Financial Services,"SoftBank Group, General Atlantic",2018,SoftBank Group, General Atlantic,,
196,Impossible Foods,4.0,2019-05-13,United States,Redwood City,Consumer & Retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2019,Khosla Ventures, Horizons Ventures, Temasek Holdings,
197,Radiology Partners,4.0,2018-02-26,United States,El Segundo,Healthcare & Life Sciences,"New Enterprise Associates, Starr Investment Holdings",2018,New Enterprise Associates, Starr Investment Holdings,,
198,Next Insurance,4.0,2019-10-07,United States,Palo Alto,Insurance,"Zeev Ventures, Ribbit Capital, TLV Partners",2019,Zeev Ventures, Ribbit Capital, TLV Partners,
199,PointClickCare,4.0,2021-01-07,Canada,Mississauga,Healthcare & Life Sciences,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",2021,Dragoneer Investment Group, Hellman & Friedman, JMI Equity,
200,Zapier,4.0,2021-01-14,United States,Sunnyvale,Enterprise Tech,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",2021,Sequoia Capital, Bessemer Venture Partners, Threshold Ventures,
201,Clubhouse,4.0,2021-01-24,United States,San Francisco,Media & Entertainment,"Andreessen Horowitz, TQ Ventures",2021,Andreessen Horowitz, TQ Ventures,,
202,BrowserStack,4.0,2021-06-16,Ireland,Dublin,Enterprise Tech,"Accel, Insight Partners, Bond Capital",2021,Accel, Insight Partners, Bond Capital,
203,Melio,4.0,2021-01-25,United States,New York,Financial Services,"Accel, Aleph, American Express Ventures",2021,Accel, Aleph, American Express Ventures,
204,Vuori,4.0,2021-10-13,United States,Carlsbad,Consumer & Retail,"SoftBank Group, Norwest Venture Partners",2021,SoftBank Group, Norwest Venture Partners,,
205,ClickUp,4.0,2020-12-15,United States,San Diego,Enterprise Tech,"Georgian Partners, Craft Ventures",2020,Georgian Partners, Craft Ventures,,
206,Cerebras Systems,4.0,2018-11-14,United States,Los Altos,Enterprise Tech,"Benchmark, Foundation Capital, Sequoia Capital",2018,Benchmark, Foundation Capital, Sequoia Capital,
207,Farmers Business Network,4.0,2020-08-03,United States,San Carlos,Industrials,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",2020,Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures,
208,Branch,4.0,2018-09-10,United States,Redwood City,Enterprise Tech,"New Enterprise Associates, Pear, Cowboy Ventures",2018,New Enterprise Associates, Pear, Cowboy Ventures,
209,Aurora Solar,4.0,2021-05-24,United States,San Francisco,Industrials,"Fifth Wall Ventures, Energize Ventures, ICONIQ Capital",2021,Fifth Wall Ventures, Energize Ventures, ICONIQ Capital,
210,Webflow,4.0,2021-01-13,United States,San Francisco,Enterprise Tech,"Accel, Silversmith Capital Partners, capitalG",2021,Accel, Silversmith Capital Partners, capitalG,
211,Yuga Labs,4.0,2022-03-22,United States,Miami,Media & Entertainment,"Andreessen Horowitz, Thrive Capital, Sound Ventures",2022,Andreessen Horowitz, Thrive Capital, Sound Ventures,
212,Medlinker,3.92,2018-07-31,China,Chengdu,Healthcare & Life Sciences,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",2018,China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China,
213,StockX,3.8,2019-06-26,United States,Detroit,Consumer & Retail,"Google Ventures, Battery Ventures, DST Global",2019,Google Ventures, Battery Ventures, DST Global,
214,MessageBird,3.8,2020-10-08,Netherlands,Amsterdam,Enterprise Tech,"Y Combinator, Atomico, Accel",2020,Y Combinator, Atomico, Accel,
215,Articulate,3.75,2021-07-01,United States,New York,Enterprise Tech,"Blackstone, ICONIQ Growth, General Atlantic",2021,Blackstone, ICONIQ Growth, General Atlantic,
216,Dutchie,3.75,2021-03-16,United States,Bend,Consumer & Retail,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",2021,Casa Verde Capital, Gron Ventures, Thrity Five Ventures,
217,Cohesity,3.7,2018-06-11,United States,San Jose,Enterprise Tech,"SoftBank Group, Sequoia Capital, Wing Venture Capital",2018,SoftBank Group, Sequoia Capital, Wing Venture Capital,
218,Dataiku,3.7,2019-12-04,United States,New York,Enterprise Tech,"Alven Capital, FirstMark Capital, capitalG",2019,Alven Capital, FirstMark Capital, capitalG,
219,GOAT,3.7,2020-09-23,United States,Culver City,Consumer & Retail,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",2020,Upfront Ventures, Webb Investment Network, D1 Capital Partners,
220,Noom,3.7,2021-05-24,United States,New York,Healthcare & Life Sciences,"Qualcomm Ventures, Samsung Ventures, Silver Lake",2021,Qualcomm Ventures, Samsung Ventures, Silver Lake,
221,Papaya Global,3.7,2021-03-04,United States,New York,Enterprise Tech,"Bessemer Venture Partners, Insight Partners, New Era Ventures",2021,Bessemer Venture Partners, Insight Partners, New Era Ventures,
222,Abogen,3.7,2021-11-29,China,Suzhou,Healthcare & Life Sciences,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",2021,Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners,
223,Harness,3.7,2021-01-14,United States,San Francisco,Enterprise Tech,"Menlo Ventures, Alkeon Capital Management, Citi Ventures",2021,Menlo Ventures, Alkeon Capital Management, Citi Ventures,
224,Whatnot,3.7,2021-09-16,United States,Marina del Rey,Consumer & Retail,"Y Combinator, Andreessen Horowitz, Wonder Ventures",2021,Y Combinator, Andreessen Horowitz, Wonder Ventures,
225,o9 Solutions,3.7,2020-04-28,United States,Dallas,Enterprise Tech,KKR,2020,KKR,,,
226,Autograph,3.66,2022-01-20,United States,Santa Monica,Media & Entertainment,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,2022,01 Advisors. Kleiner Perkins Caufield & Byers. Andreessen Horowitz,,,
227,Relativity,3.6,2021-03-18,United States,Chicago,Enterprise Tech,"Silver Lake, ICONIQ Capital",2021,Silver Lake, ICONIQ Capital,,
228,Whoop,3.6,2020-10-28,United States,Boston,Healthcare & Life Sciences,"NextView Ventures, Promus Ventures, Two Sigma Ventures",2020,NextView Ventures, Promus Ventures, Two Sigma Ventures,
229,Course Hero,3.6,2020-02-12,United States,Redwood City,Consumer & Retail,"NewView Capital, Maveron, Ridge Ventures",2020,NewView Capital, Maveron, Ridge Ventures,
230,SpotOn,3.6,2021-05-26,United States,San Francisco,Financial Services,"Dragoneer Investment Group, DST Global, Franklin Templeton",2021,Dragoneer Investment Group, DST Global, Franklin Templeton,
231,Otto Bock HealthCare,3.52,2017-06-24,Germany,Duderstadt,Healthcare & Life Sciences,EQT Partners,2017,EQT Partners,,,
232,Cribl,3.5,2021-08-25,United States,San Francisco,Enterprise Tech,"Institutional Venture Partners, CRV, Sequoia Capital",2021,Institutional Venture Partners, CRV, Sequoia Capital,
233,Indigo Ag,3.5,2017-09-26,United States,Boston,Industrials,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",2017,Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.,
234,eToro,3.5,2023-03-21,United Kingdom,London,Financial Services,"BRM Group, Spark Capital, Social Leverage",2023,BRM Group, Spark Capital, Social Leverage,
235,HyalRoute,3.5,2020-05-26,Singapore,Sigapore,Industrials,Kuang-Chi,2020,Kuang-Chi,,,
236,Rec Room,3.5,2021-03-23,United States,Seattle,Media & Entertainment,"First Round Capital, Sequoia Capital, Index Ventures",2021,First Round Capital, Sequoia Capital, Index Ventures,
237,Mirakl,3.5,2020-09-22,France,Paris,Consumer & Retail,"Elaia Partners, 83North, Felix Capital",2020,Elaia Partners, 83North, Felix Capital,
238,Tekion,4.0,2020-10-21,United States,San Ramon,Industrials,"Airbus Ventures, Index Ventures, Advent International",2020,Airbus Ventures, Index Ventures, Advent International,
239,GoStudent,3.5,2021-06-22,Austria,Vienna,Consumer & Retail,"DN Capital, Left Lane Capital, Coatue Management",2021,DN Capital, Left Lane Capital, Coatue Management,
240,Highspot,3.5,2021-02-22,United States,Seattle,Enterprise Tech,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",2021,Madrona Venture Group, Shasta Ventures, Salesforce Ventures,
241,Handshake,3.5,2021-05-12,United States,San Francisco,Enterprise Tech,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",2021,Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures,
242,ChargeBee Technologies,3.5,2021-04-20,United States,San Francisco,Financial Services,"Insight Partners, Tiger Global Management, Accel",2021,Insight Partners, Tiger Global Management, Accel,
243,Flock Safety,3.5,2021-07-13,United States,Atlanta,Consumer & Retail,"Matrix Partners, Initialized Capital, Tiger Global Management",2021,Matrix Partners, Initialized Capital, Tiger Global Management,
244,Helion Energy,3.5,2021-11-05,United States,Redmond,Industrials,"Mithril Capital Management, Y Combinator, Capricorn Investment Group",2021,Mithril Capital Management, Y Combinator, Capricorn Investment Group,
245,Unacademy,3.44,2020-09-02,India,Bengaluru,Consumer & Retail,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",2020,Blume Ventures, Nexus Venture Partners, Sequoia Capital India,
246,Odoo,3.43,2021-07-29,Belgium,Louvain-la-Neuve,Enterprise Tech,"Summit Partners, Noshaq, Sofinnova Partners",2021,Summit Partners, Noshaq, Sofinnova Partners,
247,MoonPay,3.4,2021-11-22,United States,Miami,Financial Services,"New Enterprise Associates, Coatue Management, Tiger Global Management",2021,New Enterprise Associates, Coatue Management, Tiger Global Management,
248,Upstox,3.4,2021-11-29,India,Mumbai,Financial Services,"Tiger Global Management, Kalaari Capital",2021,Tiger Global Management, Kalaari Capital,,
249,Improbable,3.36,2017-05-11,United Kingdom,London,Media & Entertainment,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",2017,Andreessen Horowitz, SoftBank Group, Temasek Holdings,
250,Youxia Motors,3.35,2018-04-02,China,Shanghai,Industrials,"China Environmental Protection Industry, China Fortune Ocean",2018,China Environmental Protection Industry, China Fortune Ocean,,
251,Starburst,3.35,2021-01-06,United States,Boston,Enterprise Tech,"Index Ventures, Coatue Management, Andreessen Horowitz",2021,Index Ventures, Coatue Management, Andreessen Horowitz,
252,Moonshot AI,3.3,2024-02-19,China,Beijing,Consumer & Retail,"HongShan, Jinfu Investment, ZhenFund",2024,HongShan, Jinfu Investment, ZhenFund,
253,Sila,3.3,2019-04-16,United States,Alameda,Industrials,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",2019,Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners,
254,Komodo Health,3.3,2020-05-22,United States,San Francisco,Healthcare & Life Sciences,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2020,Andreessen Horowitz, IA Ventures, Felicis Ventures,
255,Kurly,3.3,2021-07-09,South Korea,Seoul,Consumer & Retail,"Sequoia Capital China, DST Global, DST Global",2021,Sequoia Capital China, DST Global, DST Global,
256,Cars24,3.3,2020-11-24,India,Gurgaon,Industrials,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2020,Moore Strategic Ventures, DST Global, Sequoia Capital India,
257,Spring Health,3.3,2021-09-16,United States,New York,Healthcare & Life Sciences,"Rethink Impact, Work-Bench, RRE Ventures",2021,Rethink Impact, Work-Bench, RRE Ventures,
258,BlockDaemon,3.25,2021-09-21,United States,Los Angeles,Financial Services,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",2021,BOLDstart Ventures, Lerer Hippeau, Kenetic Capital,
259,Bilt Rewards,3.25,2022-10-25,United States,New York,Financial Services,"Camber Creek, Kairos HQ, Fifth Wall Ventures",2022,Camber Creek, Kairos HQ, Fifth Wall Ventures,
260,Vercel,3.25,2021-06-23,United States,San Francisco,Enterprise Tech,"CRV, Accel, Google Ventures",2021,CRV, Accel, Google Ventures,
261,Dadi Cinema,3.24,2016-05-11,China,Shenzhen,Media & Entertainment,Alibaba Pictures Group,2016,Alibaba Pictures Group,,,
262,Aiven,3.21,2021-10-18,Finland,Helsinki,Enterprise Tech,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",2021,Institutional Venture Partners, Atomico, Earlybird Venture Capital,
263,Thumbtack,3.2,2015-09-29,United States,San Francisco,Consumer & Retail,"Tiger Global, Sequoia Capital, Google Capital",2015,Tiger Global, Sequoia Capital, Google Capital,
264,Cedar,3.2,2021-03-09,United States,New York,Healthcare & Life Sciences,"Thrive Capital, Founders Fund, Cocnord Health Partners",2021,Thrive Capital, Founders Fund, Cocnord Health Partners,
265,Eruditus Executive Education,3.2,2021-08-12,India,Mumbai,Enterprise Tech,"Sequoia Capital India, Softbank, Bertelsmann India Investments",2021,Sequoia Capital India, Softbank, Bertelsmann India Investments,
266,Blockstream,3.2,2021-08-24,Canada,Vancouver,Financial Services,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2021,AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital,
267,Innovaccer,3.2,2021-02-19,United States,San Francisco,Healthcare & Life Sciences,"M12, WestBridge Capital, Lightspeed Venture Partners",2021,M12, WestBridge Capital, Lightspeed Venture Partners,
268,Ironclad,3.2,2022-01-18,United States,Sacramento,Enterprise Tech,"Accel, Sequoia Capital, Y Combinator",2022,Accel, Sequoia Capital, Y Combinator,
269,Eikon Therapeutics,3.2,2022-01-06,United States,Hayward,Healthcare & Life Sciences,"The Column Group, Foresite Capital, Foresite Capital",2022,The Column Group, Foresite Capital, Foresite Capital,
270,Retool,3.2,2021-12-22,United States,San Francisco,Enterprise Tech,Sequoia Capital,2021,Sequoia Capital,,,
271,Verkada,3.2,2020-01-29,United States,San Mateo,Industrials,"next47, First Round Capital, Sequoia Capital",2020,next47, First Round Capital, Sequoia Capital,
272,PsiQuantum,3.15,2021-07-27,United States,Palo Alto,Enterprise Tech,"Playground Global, M12, BlackRock",2021,Playground Global, M12, BlackRock,
273,HighRadius,3.1,2020-01-07,United States,Houston,Financial Services,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2020,Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital,
274,Nuvemshop,3.1,2021-08-17,Brazil,Sao Paulo,Consumer & Retail,"Kaszek Ventures, Qualcomm Ventures, Accel",2021,Kaszek Ventures, Qualcomm Ventures, Accel,
275,LayerZero Labs,3.0,2022-03-30,United States,New York,Enterprise Tech,"Andreessen Horowitz, FTX Ventures, Tiger Global Management",2022,Andreessen Horowitz, FTX Ventures, Tiger Global Management,
276,Clio,3.0,2021-04-27,Canada,Burnaby,Enterprise Tech,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",2021,OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures,
277,Zhipu AI,3.0,2023-09-20,China,Beijing,Enterprise Tech,"Qiming Venture Partners, Legend Capital, Jiangmen Venture Capital",2023,Qiming Venture Partners, Legend Capital, Jiangmen Venture Capital,
278,Island,3.0,2022-03-23,United States,Dallas,Enterprise Tech,"Insight Partners, Sequoia Capital, Stripes Group",2022,Insight Partners, Sequoia Capital, Stripes Group,
279,Nord Security,3.0,2022-04-07,Lithuania,Vilnius,Enterprise Tech,"General Catalyst, BaltCap, Novator Partners",2022,General Catalyst, BaltCap, Novator Partners,
280,Yixia,3.0,2015-11-24,China,Beijing,Media & Entertainment,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",2015,Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures
281,Traveloka,3.0,2017-01-01,Indonesia,Jakarta,Consumer & Retail,"Global Founders Capital, East Ventures, Expedia Inc.",2017,Global Founders Capital, East Ventures, Expedia Inc.,
282,Monad Labs,3.0,2024-04-09,United States,New York,Financial Services,"HTX Ventures, Electric Capital, Coinbase Ventures",2024,HTX Ventures, Electric Capital, Coinbase Ventures,
283,SouChe Holdings,3.0,2017-11-01,China,Hangzhou,Industrials,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",2017,Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund,
284,BGL Group,3.0,2017-11-24,United Kingdom,Peterborough,Insurance,CPP Investment Board,2017,CPP Investment Board,,,
285,Circle,3.0,2018-05-15,United States,Boston,Financial Services,"General Catalyst, Digital Currency Group, Accel",2018,General Catalyst, Digital Currency Group, Accel,
286,Zuoyebang,3.0,2018-07-18,China,Beijing,Consumer & Retail,"Sequoia Capital China, Xiang He Capital, GGV Capital",2018,Sequoia Capital China, Xiang He Capital, GGV Capital,
287,FlixMobility,3.0,2019-07-18,Germany,Munich,Industrials,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2019,Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic,
288,Wildlife Studios,3.0,2019-12-05,Brazil,Sao Paulo,Media & Entertainment,"Benchmark, Bessemer Venture Partners",2019,Benchmark, Bessemer Venture Partners,,
289,ApplyBoard,3.2,2020-05-05,Canada,Kitchener,Consumer & Retail,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2020,Artiman Ventures, Plug and Play Ventures, Anthos Capital,
290,Forter,3.0,2020-11-19,United States,New York,Enterprise Tech,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",2020,Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures,
291,Calendly,3.0,2021-01-26,United States,Atlanta,Enterprise Tech,"ICONIQ Capital, OpenView Venture Partners",2021,ICONIQ Capital, OpenView Venture Partners,,
292,BlockFi,3.0,2021-03-11,United States,Jersey City,Financial Services,"ConsenSys Ventures, Valar Ventures, PUC",2021,ConsenSys Ventures, Valar Ventures, PUC,
293,ActiveCampaign,3.0,2021-04-21,United States,Chicago,Enterprise Tech,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2021,Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management,
294,CMR Surgical,3.0,2019-09-17,United Kingdom,Cambridge,Healthcare & Life Sciences,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2019,Cambridge Innovation Capital, LGT Capital Partners, Escala Capital,
295,Lucid Software,3.0,2021-06-29,United States,South Jordan,Enterprise Tech,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",2021,Spectrum Equity, ICONIQ Capital, Grayhawk Capital,
296,Age of Learning,3.0,2016-05-03,United States,Glendale,Consumer & Retail,Iconiq Capital,2016,Iconiq Capital,,,
297,Carbon Health,3.0,2021-07-21,United States,San Francisco,Healthcare & Life Sciences,"Brookfield Asset Management, Blackstone, Data Collective",2021,Brookfield Asset Management, Blackstone, Data Collective,
298,Contentful,3.0,2021-07-28,Germany,Berlin,Enterprise Tech,"Balderton Capital, General Catalyst, Tiger Global Management",2021,Balderton Capital, General Catalyst, Tiger Global Management,
299,LaunchDarkly,3.0,2021-08-10,United States,Oakland,Enterprise Tech,"Uncork Capital, Threshold Ventures, Bloomberg Beta",2021,Uncork Capital, Threshold Ventures, Bloomberg Beta,
300,Seismic,3.0,2018-12-18,United States,San Diego,Enterprise Tech,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",2018,Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners,
301,Sky Mavis,3.0,2021-10-04,Vietnam,Ho Chi Minh City,Media & Entertainment,"Fabric Ventures, 500 Global, Standard Crypto",2021,Fabric Ventures, 500 Global, Standard Crypto,
302,Outschool,3.0,2021-04-14,United States,San Francisco,Consumer & Retail,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",2021,Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital,
303,TradingView,3.0,2021-10-14,United States,Westerville,Financial Services,"Tiger Global Management, Insight Partners, Jump Capital",2021,Tiger Global Management, Insight Partners, Jump Capital,
304,Groww,3.0,2021-04-07,India,Bengaluru,Financial Services,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2021,Tiger Global Management, Sequoia Capital India, Ribbit Capital,
305,Podium,3.0,2020-04-07,United States,Lehi,Consumer & Retail,"Accel, Summit Partners, Google Ventures",2020,Accel, Summit Partners, Google Ventures,
306,Via,3.5,2020-03-30,United States,New York,Industrials,"83North, RiverPark Ventures, Pitango Venture Capital",2020,83North, RiverPark Ventures, Pitango Venture Capital,
307,Anchorage Digital,3.0,2021-12-15,United States,San Francisco,Financial Services,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2021,Andreessen Horowitz, Blockchain Capital, Lux Capital,
308,Inxeption,3.0,2022-01-13,United States,San Francisco,Industrials,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",2022,Coatue Management, BMO Capital, Schonfeld Strategic Advisors,
309,Lattice,3.0,2021-03-23,United States,San Francisco,Enterprise Tech,"Khosla Ventures, Thrive Capital, Y Combinator",2021,Khosla Ventures, Thrive Capital, Y Combinator,
310,Flutterwave,3.0,2021-03-09,United States,San Francisco,Financial Services,"Green Visor Capital, CRE Venture Capital, Greycroft",2021,Green Visor Capital, CRE Venture Capital, Greycroft,
311,Amber Group,3.0,2021-06-21,Singapore,Sigapore,Financial Services,"Tiger Global Management, Tiger Brokers, DCM Ventures",2021,Tiger Global Management, Tiger Brokers, DCM Ventures,
312,Cross River Bank,3.0,2022-02-11,United States,Fort Lee,Financial Services,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",2022,Battery Ventures, Andreessen Horowitz, Ribbit Capital,
313,Remote,3.0,2021-07-13,United States,San Francisco,Enterprise Tech,"Index Ventures, Sequoia Capital, General Catalyst",2021,Index Ventures, Sequoia Capital, General Catalyst,
314,Sentry,3.0,2021-02-18,United States,San Francisco,Enterprise Tech,"New Enterprise Associates, Accel, Bond",2021,New Enterprise Associates, Accel, Bond,
315,TERMINUS Technology,2.96,2018-10-25,China,Beijing,Industrials,"China Everbright Limited, IDG Capital, iFLYTEK",2018,China Everbright Limited, IDG Capital, iFLYTEK,
316,Kraken,2.92,2019-06-25,United States,San Francisco,Financial Services,"Bnk To The Future, Trammell Ventures, SBI Investment",2019,Bnk To The Future, Trammell Ventures, SBI Investment,
317,Workrise,2.9,2019-09-30,United States,Austin,Industrials,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2019,Founders Fund, Quantum Energy Partners, Bedrock Capital,
318,BharatPe,2.85,2021-07-30,India,New Delhi,Financial Services,"Insight Partners, Sequoia Capital India, BEENEXT",2021,Insight Partners, Sequoia Capital India, BEENEXT,
319,Gokin Solar,2.88,2022-04-13,China,Zhuhai,Industrials,"IDG Capital, Puluo Capital, Midea Capital",2022,IDG Capital, Puluo Capital, Midea Capital,
320,DriveWealth,2.85,2021-08-20,United States,Chatham,Financial Services,"Point72 Ventures, Route 66 Ventures, Accel",2021,Point72 Ventures, Route 66 Ventures, Accel,
321,Meicai,2.8,2016-06-22,China,Beijing,Consumer & Retail,"Tiger Global Management, Blue Lake Capital, ZhenFund",2016,Tiger Global Management, Blue Lake Capital, ZhenFund,
322,Nutrabolt,2.79,2022-12-08,United States,Austin,Consumer & Retail,MidOcean Partners,2022,MidOcean Partners,,,
323,Baichuan AI,2.77,2024-07-25,China,Haidian,Enterprise Tech,"Shenzhen Capital Group, Shunwei Capital",2024,Shenzhen Capital Group, Shunwei Capital,,
324,Illumio,2.75,2015-04-14,United States,Sunnyvale,Enterprise Tech,"Data Collective, Formation 8, General Catalyst Partners",2015,Data Collective, Formation 8, General Catalyst Partners,
325,MasterClass,2.75,2021-05-13,United States,San Francisco,Media & Entertainment,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2021,Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners,
326,Dream Games,2.75,2021-06-30,Turkey,Istanbul,Media & Entertainment,"Makers Fund, Index Ventures, Inova Ventures Participacees",2021,Makers Fund, Index Ventures, Inova Ventures Participacees,
327,Transmit Security,2.74,2021-06-22,Israel,Tel Aviv,Enterprise Tech,"General Atlantic, Insight Partners, Vintage Investment Partners",2021,General Atlantic, Insight Partners, Vintage Investment Partners,
328,Hozon Auto,3.95,2022-02-22,China,Shanghai,Industrials,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",2022,HD Capital, Qihoo 360 Technology, China Fortune Land Development,
329,Tradeshift,2.7,2018-05-30,United States,San Francisco,Enterprise Tech,"Notion Capital, Scentan Ventures, Kite Ventures",2018,Notion Capital, Scentan Ventures, Kite Ventures,
330,Nextiva,2.7,2021-09-14,United States,Scottsdale,Enterprise Tech,Goldman Sachs Asset Management,2021,Goldman Sachs Asset Management,,,
331,Tridge,2.7,2022-08-24,South Korea,Seoul,Industrials,"Forest Partners, Softbank Ventures Asia",2022,Forest Partners, Softbank Ventures Asia,,
332,Thought Machine,2.7,2021-11-29,United Kingdom,London,Financial Services,"British Patient Capital, SEB Venture Capital, IQ Capital",2021,British Patient Capital, SEB Venture Capital, IQ Capital,
333,Starling Bank,2.69,2021-03-08,United Kingdom,London,Financial Services,"JTC Group, Qatar Investment Authority, Fidelity Investment",2021,JTC Group, Qatar Investment Authority, Fidelity Investment,
334,Figure,2.68,2024-02-23,United States,Sunnyvale,Industrials,"Intel Capital, Parkway VC, Amazon Industrial Innovation Fund",2024,Intel Capital, Parkway VC, Amazon Industrial Innovation Fund,
335,BackBase,2.66,2022-06-09,Netherlands,Amsterdam,Financial Services,Motive Partners,2022,Motive Partners,,,
336,ManoMano,2.6,2021-07-05,France,Paris,Consumer & Retail,"General Atlantic, Piton Capital, Partech Partners",2021,General Atlantic, Piton Capital, Partech Partners,
337,Sourcegraph,2.62,2021-07-13,United States,San Francisco,Enterprise Tech,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2021,Redpoint Ventures, Goldcrest Capital, Insight Partners,
338,Pendo,2.6,2019-10-17,United States,Raleigh,Enterprise Tech,"Contour Venture Partners, Battery Ventures, Core Capital Partners",2019,Contour Venture Partners, Battery Ventures, Core Capital Partners,
