,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
76,Ramp,7.65,2021-03-29,United States,New York,Enterprise Tech,"D1 Capital Partners, Stripe, Coatue Management",2021,D1 Capital Partners, Stripe, Coatue Management,
77,Dapper Labs,7.6,2021-03-30,Canada,Vancouver,Media & Entertainment,"Union Square Ventures, Venrock, Andreessen Horowitz",2021,Union Square Ventures, Venrock, Andreessen Horowitz,
78,Netskope,7.5,2018-11-13,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Social Capital, Accel",2018,Lightspeed Venture Partners, Social Capital, Accel,
79,Razorpay,7.5,2020-10-11,India,Bengaluru,Financial Services,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2020,Sequoia Capital India, Tiger Global Management, Matrix Partners India,
80,Automattic,7.5,2013-05-27,United States,San Francisco,Media & Entertainment,"Insight Venture Partners, Lowercase Capital, Polaris Partners",2013,Insight Venture Partners, Lowercase Capital, Polaris Partners,
81,Carta,7.4,2019-05-06,United States,San Francisco,Financial Services,"Menlo Ventures, Spark Capital, Union Square Ventures",2019,Menlo Ventures, Spark Capital, Union Square Ventures,
82,Snyk,7.4,2020-01-21,United States,Boston,Enterprise Tech,"BOLDstart Ventures, Google Ventures, Accel",2020,BOLDstart Ventures, Google Ventures, Accel,
83,Gong,7.25,2020-08-12,United States,Palo Alto,Enterprise Tech,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2020,Norwest Venture Partners, Next World Capital, Wing Venture Capital,
84,Gemini,7.1,2021-11-19,United States,New York,Financial Services,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",2021,Morgan Creek Digital, Marcy Venture Partners, 10T Fund,
85,Blockchain.com,7.0,2021-02-17,United Kingdom,London,Financial Services,"Lightspeed Venture Partners, Google Ventures, Lakestar",2021,Lightspeed Venture Partners, Google Ventures, Lakestar,
86,Toss,7.0,2018-12-09,South Korea,Seoul,Financial Services,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",2018,Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers,
87,We Doctor,7.0,2015-09-22,China,Hangzhou,Healthcare & Life Sciences,"Tencent, Morningside Group",2015,Tencent, Morningside Group,,
88,Ro,7.0,2020-07-27,United States,New York,Healthcare & Life Sciences,"Initialized Capital, General Catalyst, SignalFire",2020,Initialized Capital, General Catalyst, SignalFire,
89,ConsenSys,7.0,2021-11-17,United States,New York,Enterprise Tech,"Third Point, Electric Capital, Coinbase Ventures",2021,Third Point, Electric Capital, Coinbase Ventures,
90,Automation Anywhere,6.8,2018-07-02,United States,San Jose,Enterprise Tech,"General Atlantic, Goldman Sachs, New Enterprise Associates",2018,General Atlantic, Goldman Sachs, New Enterprise Associates,
91,1Password,6.8,2021-07-08,Canada,Toronto,Enterprise Tech,"Slack Fund, Accel, Skip Capital",2021,Slack Fund, Accel, Skip Capital,
92,Klarna,6.7,2011-12-12,Sweden,Stockholm,Financial Services,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2011,Institutional Venture Partners, Sequoia Capital, General Atlantic,
93,Ziroom,6.6,2018-01-17,China,Beijing,Consumer & Retail,"Sequoia Capital China, Warburg Pincus, General Catalyst",2018,Sequoia Capital China, Warburg Pincus, General Catalyst,
94,SVOLT,6.51,2020-06-08,China,Changzhou,Industrials,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2020,IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management
95,National Stock Exchange of India,6.5,2020-07-01,India,Mumbai,Financial Services,"TA Associates, SoftBank Group, GS Growth",2020,TA Associates, SoftBank Group, GS Growth,
96,Mollie,6.5,2020-09-08,Netherlands,Amsterdam,Financial Services,Technology Crossover Ventures,2020,Technology Crossover Ventures,,,
97,Doctolib,6.4,2019-03-19,France,Paris,Healthcare & Life Sciences,"BPI France, Kerala Ventures, Accel",2019,BPI France, Kerala Ventures, Accel,
98,CRED,6.4,2021-04-06,India,Bengaluru,Financial Services,"Tiger Global Management, DST Global, Sequoia Capital India",2021,Tiger Global Management, DST Global, Sequoia Capital India,
99,DataRobot,6.3,2019-07-29,United States,Boston,Enterprise Tech,"New Enterprise Associates, Accomplice, IA Ventures",2019,New Enterprise Associates, Accomplice, IA Ventures,
100,Upgrade,6.28,2018-02-12,United States,San Francisco,Financial Services,"Union Square Ventures, Ribbit Capital, VY Capital",2018,Union Square Ventures, Ribbit Capital, VY Capital,
101,Mistral AI,6.22,2023-12-10,France,Paris,Enterprise Tech,"Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz",2023,Lightspeed Venture Partners, General Catalyst, Andreessen Horowitz,
102,Hinge Health,6.2,2021-01-06,United States,San Francisco,Healthcare & Life Sciences,"Atomico, Insight Partners, Coatue Management",2021,Atomico, Insight Partners, Coatue Management,
103,Black Unicorn Factory,6.1,2021-05-20,United States,Los Angeles,Enterprise Tech,Barter Ventures,2021,Barter Ventures,,,
